Quarryfield flg22Psy							
OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
"4453972"	"k__Bacteria"	" p__Proteobacteria"	" c__Alphaproteobacteria"	" o__Sphingomonadales"	" f__Sphingomonadaceae"	" g__Kaistobacter"	" s__"
"282561"	"k__Bacteria"	" p__Proteobacteria"	" c__Alphaproteobacteria"	" o__Sphingomonadales"	" f__Sphingomonadaceae"	" g__Sphingomonas"	" s__"
"1656467"	"k__Bacteria"	" p__Proteobacteria"	" c__Alphaproteobacteria"	" o__Caulobacterales"	" f__Caulobacteraceae"	" g__Mycoplana"	" s__"
"536580"	"k__Bacteria"	" p__Proteobacteria"	" c__Alphaproteobacteria"	" o__Rhizobiales"	" f__"	" g__"	" s__"
"323929"	"k__Bacteria"	" p__Proteobacteria"	" c__Alphaproteobacteria"	" o__Rhizobiales"	" f__"	" g__"	" s__"
"142247"	"k__Bacteria"	" p__Bacteroidetes"	" c__Cytophagia"	" o__Cytophagales"	" f__Cytophagaceae"	" g__"	" s__"
"4404468"	"k__Bacteria"	" p__Bacteroidetes"	" c__Cytophagia"	" o__Cytophagales"	" f__Cytophagaceae"	" g__"	" s__"
"249693"	"k__Bacteria"	" p__Bacteroidetes"	" c__Cytophagia"	" o__Cytophagales"	" f__Cytophagaceae"	" g__"	" s__"
"222507"	"k__Bacteria"	" p__Bacteroidetes"	" c__[Saprospirae]"	" o__[Saprospirales]"	" f__Chitinophagaceae"	" g__"	" s__"
"570086"	"k__Bacteria"	" p__Bacteroidetes"	" c__Flavobacteriia"	" o__Flavobacteriales"	" f__Cryomorphaceae"	" g__Fluviicola"	" s__"
"2775220"	"k__Bacteria"	" p__Bacteroidetes"	" c__Sphingobacteriia"	" o__Sphingobacteriales"	" f__"	" g__"	" s__"
"1925452"	"k__Bacteria"	" p__Acidobacteria"	" c__[Chloracidobacteria]"	" o__RB41"	" f__Ellin6075"	" g__"	" s__"
"641892"	"k__Bacteria"	" p__Acidobacteria"	" c__[Chloracidobacteria]"	" o__RB41"	" f__Ellin6075"	" g__"	" s__"
"621571"	"k__Bacteria"	" p__Acidobacteria"	" c__[Chloracidobacteria]"	" o__DS-100"	" f__"	" g__"	" s__"
"4361801"	"k__Bacteria"	" p__Acidobacteria"	" c__Acidobacteria-6"	" o__iii1-15"	" f__"	" g__"	" s__"
"661235"	"k__Bacteria"	" p__Acidobacteria"	" c__Acidobacteria-6"	" o__iii1-15"	" f__"	" g__"	" s__"
"4378940"	"k__Bacteria"	" p__Acidobacteria"	" c__Acidobacteria-6"	" o__iii1-15"	" f__"	" g__"	" s__"
"4433961"	"k__Bacteria"	" p__Acidobacteria"	" c__Acidobacteria-6"	" o__iii1-15"	" f__RB40"	" g__"	" s__"
"223520"	"k__Bacteria"	" p__Acidobacteria"	" c__Acidobacteria-6"	" o__iii1-15"	" f__"	" g__"	" s__"
"357071"	"k__Bacteria"	" p__Acidobacteria"	" c__Acidobacteria-6"	" o__iii1-15"	" f__"	" g__"	" s__"
"4115545"	"k__Bacteria"	" p__Acidobacteria"	" c__Acidobacteria-6"	" o__iii1-15"	" f__"	" g__"	" s__"
"4334725"	"k__Bacteria"	" p__Acidobacteria"	" c__Acidobacteria-6"	" o__iii1-15"	" f__"	" g__"	" s__"
"323729"	"k__Bacteria"	" p__Acidobacteria"	" c__Acidobacteria-6"	" o__iii1-15"	" f__"	" g__"	" s__"
"4422114"	"k__Bacteria"	" p__Actinobacteria"	" c__Actinobacteria"	" o__Actinomycetales"	" f__Streptomycetaceae"	" g__"	" s__"
"4467439"	"k__Bacteria"	" p__Actinobacteria"	" c__Actinobacteria"	" o__Actinomycetales"	" f__Streptomycetaceae"	" g__Streptomyces"	" s__"
"4323733"	"k__Bacteria"	" p__Actinobacteria"	" c__Actinobacteria"	" o__Actinomycetales"	" f__Mycobacteriaceae"	" g__Mycobacterium"	" s__"
"105215"	"k__Bacteria"	" p__Planctomycetes"	" c__Planctomycetia"	" o__Planctomycetales"	" f__Planctomycetaceae"	" g__Planctomyces"	" s__"
"1020633"	"k__Bacteria"	" p__Planctomycetes"	" c__Planctomycetia"	" o__Gemmatales"	" f__Isosphaeraceae"	" g__"	" s__"
"1109142"	"k__Bacteria"	" p__Verrucomicrobia"	" c__Verrucomicrobiae"	" o__Verrucomicrobiales"	" f__Verrucomicrobiaceae"	" g__"	" s__"
"211380"	"k__Bacteria"	" p__Verrucomicrobia"	" c__[Spartobacteria]"	" o__[Chthoniobacterales]"	" f__[Chthoniobacteraceae]"	" g__DA101"	" s__"
"1025313"	"k__Bacteria"	" p__Verrucomicrobia"	" c__[Spartobacteria]"	" o__[Chthoniobacterales]"	" f__[Chthoniobacteraceae]"	" g__"	" s__"
							
							
Tayport flg22Psy							
4345857	k__Bacteria	 p__Proteobacteria	 c__Deltaproteobacteria	 o__Myxococcales	 f__	 g__	 s__
4385959	k__Bacteria	 p__Proteobacteria	 c__Deltaproteobacteria	 o__Myxococcales	 f__	 g__	 s__
4342317	k__Bacteria	 p__Bacteroidetes	 c__Sphingobacteriia	 o__Sphingobacteriales	 f__	 g__	 s__
1144682	k__Bacteria	 p__Bacteroidetes	 c__Sphingobacteriia	 o__Sphingobacteriales	 f__	 g__	 s__
4392826	k__Bacteria	 p__Bacteroidetes	 c__Sphingobacteriia	 o__Sphingobacteriales	 f__	 g__	 s__
1107796	k__Bacteria	 p__Gemmatimonadetes	 c__Gemm-1	 o__	 f__	 g__	 s__
4308710	k__Bacteria	 p__Gemmatimonadetes	 c__Gemm-1	 o__	 f__	 g__	 s__
1111883	k__Bacteria	 p__Gemmatimonadetes	 c__Gemm-1	 o__	 f__	 g__	 s__
622388	k__Bacteria	 p__Gemmatimonadetes	 c__Gemm-1	 o__	 f__	 g__	 s__
221349	k__Bacteria	 p__Gemmatimonadetes	 c__Gemmatimonadetes	 o__N1423WL	 f__	 g__	 s__
144253	k__Bacteria	 p__WS3	 c__PRR-12	 o__Sediment-1	 f__	 g__	 s__
296086	k__Bacteria	 p__Actinobacteria	 c__Thermoleophilia	 o__Solirubrobacterales	 f__	 g__	 s__
82263	k__Bacteria	 p__Verrucomicrobia	 c__[Pedosphaerae]	 o__[Pedosphaerales]	 f__	 g__	 s__
3076313	k__Bacteria	 p__Verrucomicrobia	 c__[Spartobacteria]	 o__[Chthoniobacterales]	 f__[Chthoniobacteraceae]	 g__	 s__
